received_date,receveid_hour,sensor A,sensor B,sensor C
01/09/2020,19:34:32,36,21,5
01/09/2020,19:38:21,50,15,3
01/09/2020,19:42:37,50,17,4
01/09/2020,19:50:21,52,19,2
01/09/2020,20:01:23,39,19,0
01/09/2020,20:06:24,50,16,0
01/09/2020,20:12:25,55,20,2
01/09/2020,20:20:26,43,16,2
01/09/2020,20:22:27,43,17,2
01/09/2020,20:34:32,46,18,2
01/09/2020,20:38:21,40,19,4
01/09/2020,20:42:37,45,24,1
01/09/2020,20:50:21,45,15,0
01/09/2020,21:01:23,40,24,2
01/09/2020,21:06:24,36,22,4
01/09/2020,21:12:25,45,19,4
01/09/2020,21:20:26,45,19,4
01/09/2020,21:22:27,41,21,1
01/09/2020,21:34:32,49,17,4
01/09/2020,21:38:21,49,17,2
01/09/2020,21:42:37,44,23,3
01/09/2020,21:50:21,49,21,2
01/09/2020,22:01:23,51,17,5
01/09/2020,22:06:24,39,16,5
01/09/2020,22:12:25,45,16,3
01/09/2020,22:20:26,47,24,3
01/09/2020,22:22:27,48,25,2
01/09/2020,22:34:32,40,22,2
01/09/2020,22:38:21,42,17,4
01/09/2020,22:42:37,39,23,1
01/09/2020,22:50:21,54,24,0
01/09/2020,23:01:23,43,18,4
01/09/2020,23:06:24,37,24,0
01/09/2020,23:12:25,39,24,3
01/09/2020,23:20:26,41,22,1
01/09/2020,23:22:27,49,24,4
01/09/2020,23:34:32,52,19,4
01/09/2020,23:38:21,55,17,3
01/09/2020,23:42:37,36,23,5
01/09/2020,23:50:21,49,22,5
02/09/2020,00:01:23,48,17,3
02/09/2020,00:06:24,37,18,3
02/09/2020,00:12:25,53,20,5
02/09/2020,00:20:26,42,20,3
02/09/2020,00:22:27,40,16,2
02/09/2020,00:34:32,53,25,4
02/09/2020,00:38:21,38,16,5
02/09/2020,00:42:37,42,18,1
02/09/2020,00:50:21,39,20,2
02/09/2020,00:55:24,50,24,2
02/09/2020,01:01:23,46,23,3
02/09/2020,01:06:24,44,15,0
02/09/2020,01:12:25,52,22,2
02/09/2020,01:20:26,42,15,2
02/09/2020,01:22:27,51,17,0
02/09/2020,01:34:32,53,19,3
02/09/2020,01:38:21,43,22,0
02/09/2020,01:42:37,39,24,2
02/09/2020,01:50:21,55,20,3
02/09/2020,02:01:23,49,15,3
02/09/2020,02:06:24,41,23,4
02/09/2020,02:12:25,50,25,5
02/09/2020,02:20:26,46,25,1
02/09/2020,02:22:27,49,18,1
02/09/2020,02:34:32,42,24,3
02/09/2020,02:38:21,49,16,1
02/09/2020,02:42:37,49,18,3
02/09/2020,02:50:21,49,23,0
02/09/2020,03:01:23,46,15,1
02/09/2020,03:06:24,37,22,4
02/09/2020,03:12:25,40,25,3
02/09/2020,03:20:26,44,16,5
02/09/2020,03:22:27,45,16,1
02/09/2020,03:34:32,49,19,3
02/09/2020,03:38:21,41,15,2
02/09/2020,03:42:37,35,19,1
02/09/2020,03:50:21,35,24,0
02/09/2020,04:01:23,55,15,4
02/09/2020,04:06:24,37,22,2
02/09/2020,04:12:25,52,16,5
02/09/2020,04:20:26,54,17,4
02/09/2020,04:22:27,35,19,1
02/09/2020,04:34:32,50,20,1
02/09/2020,04:38:21,39,22,2
02/09/2020,04:42:37,42,23,2
02/09/2020,04:50:21,36,20,1
02/09/2020,05:01:23,39,17,1
02/09/2020,05:06:24,46,24,0
02/09/2020,05:12:25,38,16,1
02/09/2020,05:20:26,51,21,4
02/09/2020,05:22:27,42,15,5
02/09/2020,05:34:32,51,21,3
02/09/2020,05:38:21,41,17,4
02/09/2020,05:42:37,36,15,4
02/09/2020,05:50:21,38,21,0
02/09/2020,06:01:23,55,20,5
02/09/2020,06:06:24,47,18,4
02/09/2020,06:12:25,51,25,3
02/09/2020,06:20:26,43,24,0
02/09/2020,06:22:27,45,19,2
02/09/2020,06:34:32,48,25,1
02/09/2020,06:38:21,35,24,2
02/09/2020,06:42:37,41,23,1
02/09/2020,06:50:21,40,20,1
02/09/2020,07:01:23,49,21,4
02/09/2020,07:06:24,43,23,3
02/09/2020,07:12:25,44,20,1
02/09/2020,07:20:26,53,19,1
02/09/2020,07:22:27,53,16,2
02/09/2020,07:34:32,43,24,4
02/09/2020,07:38:21,35,24,0
02/09/2020,07:42:37,55,22,5
02/09/2020,07:50:21,39,23,4
02/09/2020,07:01:23,46,20,2
02/09/2020,07:06:24,35,18,3
02/09/2020,07:12:25,43,25,0
02/09/2020,07:20:26,39,21,2
02/09/2020,07:22:27,45,22,0
02/09/2020,07:34:32,43,17,5
02/09/2020,07:38:21,55,24,4
02/09/2020,07:42:37,48,23,0
02/09/2020,07:50:21,52,23,1
02/09/2020,08:01:23,45,21,2
02/09/2020,08:06:24,48,17,0
02/09/2020,08:12:25,52,21,4
02/09/2020,09:20:26,39,23,1
02/09/2020,09:22:27,41,24,2
02/09/2020,09:34:32,40,20,4
02/09/2020,09:38:21,51,20,0
02/09/2020,09:42:37,42,19,4
02/09/2020,09:50:21,48,15,0
02/09/2020,10:01:23,40,21,2
02/09/2020,10:06:24,35,25,5
02/09/2020,10:12:25,46,16,2
02/09/2020,10:20:26,54,15,4
02/09/2020,10:22:27,47,17,0
02/09/2020,10:34:32,37,17,5
02/09/2020,10:38:21,49,16,1
02/09/2020,10:42:37,37,25,1
02/09/2020,10:50:21,48,22,1
02/09/2020,11:01:23,42,23,5
02/09/2020,11:06:24,50,22,1
02/09/2020,11:12:25,44,16,2
02/09/2020,11:20:26,50,15,4
02/09/2020,11:22:27,45,22,0
02/09/2020,11:34:32,45,20,0
02/09/2020,11:38:21,45,25,4
02/09/2020,11:42:37,45,22,3
02/09/2020,11:50:21,37,24,3
02/09/2020,12:01:23,46,22,1
02/09/2020,12:06:24,46,15,1
02/09/2020,12:12:25,53,25,2
02/09/2020,12:20:26,35,16,2
02/09/2020,12:22:27,45,18,5
02/09/2020,12:34:32,47,18,3
02/09/2020,12:38:21,54,24,1
02/09/2020,12:42:37,45,21,1
02/09/2020,12:50:21,51,20,5
02/09/2020,13:01:23,36,24,3
02/09/2020,13:06:24,39,20,4
02/09/2020,13:12:25,44,21,0
02/09/2020,13:20:26,50,20,0
02/09/2020,13:22:27,53,24,5
02/09/2020,13:34:32,43,20,1
02/09/2020,13:38:21,42,18,0
02/09/2020,13:42:37,35,25,1
02/09/2020,13:50:21,35,21,5
02/09/2020,14:01:23,41,22,2
02/09/2020,14:06:24,40,18,1
02/09/2020,14:12:25,45,23,4
02/09/2020,14:20:26,42,18,0
02/09/2020,14:22:27,42,19,4
02/09/2020,14:34:32,35,17,2
02/09/2020,14:38:21,44,25,3
02/09/2020,14:42:37,48,18,2
02/09/2020,14:50:21,51,20,0
02/09/2020,15:01:23,48,16,1
02/09/2020,15:06:24,45,19,5
02/09/2020,15:12:25,44,15,3
02/09/2020,15:20:26,40,23,5
02/09/2020,15:22:27,41,16,2
02/09/2020,15:34:32,45,17,4
02/09/2020,15:38:21,40,22,1
02/09/2020,15:42:37,35,25,2
02/09/2020,15:50:21,46,17,1
02/09/2020,16:01:23,36,15,5
02/09/2020,16:06:24,38,17,3
02/09/2020,16:12:25,45,18,5
02/09/2020,16:20:26,53,21,3
02/09/2020,16:22:27,39,23,4
02/09/2020,16:34:32,44,21,0
02/09/2020,16:38:21,54,21,4
02/09/2020,16:42:37,43,16,4
02/09/2020,16:50:21,46,15,3
02/09/2020,17:01:23,51,25,5
02/09/2020,17:06:24,55,21,2
02/09/2020,17:12:25,38,22,1
02/09/2020,17:20:26,44,22,3
02/09/2020,17:22:27,54,18,0
02/09/2020,17:34:32,52,25,0
02/09/2020,17:38:21,53,18,5
02/09/2020,17:42:37,41,20,4
02/09/2020,17:50:21,51,19,1
02/09/2020,18:01:23,45,21,5
02/09/2020,18:06:24,35,16,5
02/09/2020,18:12:25,41,24,0
02/09/2020,18:20:26,52,18,5
02/09/2020,18:22:27,49,23,5
02/09/2020,18:34:32,48,20,0
02/09/2020,18:38:21,39,22,5
02/09/2020,18:42:37,41,19,0
02/09/2020,18:50:21,53,22,2
02/09/2020,19:01:23,53,25,4
02/09/2020,19:06:24,36,19,3
02/09/2020,19:12:25,52,25,1
02/09/2020,19:20:26,54,16,4
02/09/2020,19:22:27,37,16,4
02/09/2020,19:34:32,37,17,5
02/09/2020,19:38:21,41,19,1
02/09/2020,19:42:37,39,16,5
02/09/2020,19:50:21,38,21,3
02/09/2020,20:01:23,42,25,5
02/09/2020,20:06:24,52,16,3
02/09/2020,20:12:25,36,15,3
02/09/2020,20:20:26,48,15,2
02/09/2020,20:22:27,46,16,2
02/09/2020,20:34:32,35,15,4
02/09/2020,20:38:21,54,18,0
02/09/2020,20:42:37,41,22,3
02/09/2020,20:50:21,45,25,1
02/09/2020,21:01:23,36,16,5
02/09/2020,21:06:24,36,20,1
02/09/2020,21:12:25,39,19,1
02/09/2020,21:20:26,53,15,4
02/09/2020,21:22:27,42,24,2
02/09/2020,21:34:32,53,20,2
02/09/2020,21:38:21,43,20,1
02/09/2020,21:42:37,40,24,3
02/09/2020,21:50:21,40,23,1
02/09/2020,22:01:23,35,19,2
02/09/2020,22:06:24,51,16,1
02/09/2020,22:12:25,51,20,5
02/09/2020,22:20:26,51,25,0
02/09/2020,22:22:27,44,21,1
02/09/2020,22:34:32,41,18,5
02/09/2020,22:38:21,46,22,2
02/09/2020,22:42:37,35,19,3
02/09/2020,22:50:21,51,25,2
02/09/2020,23:01:23,50,19,4
02/09/2020,23:06:24,39,19,4
02/09/2020,23:12:25,47,22,5
02/09/2020,23:20:26,55,17,0
02/09/2020,23:22:27,45,18,5
02/09/2020,23:34:32,45,16,0
02/09/2020,23:38:21,50,15,3
02/09/2020,23:42:37,45,24,5
02/09/2020,23:50:21,46,25,0
03/09/2020,00:01:23,54,21,1
03/09/2020,00:06:24,54,20,3
03/09/2020,00:12:25,53,22,5
03/09/2020,00:20:26,51,24,2
03/09/2020,00:22:27,35,20,0
03/09/2020,00:34:32,52,16,1
03/09/2020,00:38:21,39,23,3
03/09/2020,00:42:37,55,15,3
03/09/2020,00:50:21,45,22,5
03/09/2020,00:55:24,55,24,5
03/09/2020,01:01:23,52,22,0
03/09/2020,01:06:24,39,16,0
03/09/2020,01:12:25,44,22,5
03/09/2020,01:20:26,47,18,2
03/09/2020,01:22:27,52,15,4
03/09/2020,01:34:32,54,24,3
03/09/2020,01:38:21,45,25,2
03/09/2020,01:42:37,42,15,1
03/09/2020,01:50:21,36,22,5
03/09/2020,02:01:23,44,15,0
03/09/2020,02:06:24,46,15,1
03/09/2020,02:12:25,36,22,5
03/09/2020,02:20:26,44,15,5
03/09/2020,02:22:27,46,23,3
03/09/2020,02:34:32,46,15,0
03/09/2020,02:38:21,52,22,3
03/09/2020,02:42:37,43,16,5
03/09/2020,02:50:21,41,23,3
03/09/2020,03:01:23,42,23,4
03/09/2020,03:06:24,35,19,0
03/09/2020,03:12:25,48,25,0
03/09/2020,03:20:26,44,17,3
03/09/2020,03:22:27,43,21,4
03/09/2020,03:34:32,52,24,5
03/09/2020,03:38:21,36,15,1
03/09/2020,03:42:37,50,22,3
03/09/2020,03:50:21,53,21,3
03/09/2020,04:01:23,48,22,5
03/09/2020,04:06:24,36,17,5
03/09/2020,04:12:25,37,22,4
03/09/2020,04:20:26,49,15,0
03/09/2020,04:22:27,37,25,0
03/09/2020,04:34:32,48,25,4
03/09/2020,04:38:21,39,17,2
03/09/2020,04:42:37,42,21,3
03/09/2020,04:50:21,48,23,2
03/09/2020,05:01:23,50,24,4
03/09/2020,05:06:24,37,24,2
03/09/2020,05:12:25,55,18,1
03/09/2020,05:20:26,55,19,0
03/09/2020,05:22:27,50,21,4
03/09/2020,05:34:32,45,19,3
03/09/2020,05:38:21,51,19,1
03/09/2020,05:42:37,54,20,1
03/09/2020,05:50:21,52,22,1
03/09/2020,06:01:23,53,24,4
03/09/2020,06:06:24,45,20,2
03/09/2020,06:12:25,51,25,3
03/09/2020,06:20:26,36,21,2
03/09/2020,06:22:27,54,24,0
03/09/2020,06:34:32,49,22,1
03/09/2020,06:38:21,35,19,2
03/09/2020,06:42:37,46,25,3
03/09/2020,06:50:21,35,15,2
03/09/2020,07:01:23,41,25,4
03/09/2020,07:06:24,36,17,1
03/09/2020,07:12:25,43,22,3
03/09/2020,07:20:26,43,21,3
03/09/2020,07:22:27,47,18,3
03/09/2020,07:34:32,41,15,4
03/09/2020,07:38:21,45,21,3
03/09/2020,07:42:37,42,25,0
03/09/2020,07:50:21,48,16,0
03/09/2020,07:01:23,45,22,2
03/09/2020,07:06:24,45,15,3
03/09/2020,07:12:25,42,16,3
03/09/2020,07:20:26,44,23,5
03/09/2020,07:22:27,40,15,0
03/09/2020,07:34:32,47,25,3
03/09/2020,07:38:21,42,24,1
03/09/2020,07:42:37,45,22,5
03/09/2020,07:50:21,35,21,1
03/09/2020,08:01:23,44,19,0
03/09/2020,08:06:24,45,25,0
03/09/2020,08:12:25,36,19,5
03/09/2020,09:20:26,51,15,2
03/09/2020,09:22:27,42,15,0
03/09/2020,09:34:32,49,21,5
03/09/2020,09:38:21,43,15,2
03/09/2020,09:42:37,38,18,2
03/09/2020,09:50:21,49,17,1
03/09/2020,10:01:23,48,22,0
03/09/2020,10:06:24,47,17,4
03/09/2020,10:12:25,40,16,4
03/09/2020,10:20:26,55,24,1
03/09/2020,10:22:27,45,15,3
03/09/2020,10:34:32,39,19,0
03/09/2020,10:38:21,53,24,0
03/09/2020,10:42:37,38,22,5
03/09/2020,10:50:21,54,23,4
03/09/2020,11:01:23,53,25,0
03/09/2020,11:06:24,51,18,3
03/09/2020,11:12:25,38,16,0
03/09/2020,11:20:26,41,23,1
03/09/2020,11:22:27,44,24,4
03/09/2020,11:34:32,48,16,0
03/09/2020,11:38:21,41,16,5
03/09/2020,11:42:37,38,18,3
03/09/2020,11:50:21,53,15,4
03/09/2020,12:01:23,44,20,3
03/09/2020,12:06:24,54,18,4
03/09/2020,12:12:25,48,17,4
03/09/2020,12:20:26,43,16,3
03/09/2020,12:22:27,46,21,2
03/09/2020,12:34:32,39,20,4
03/09/2020,12:38:21,48,25,3
03/09/2020,12:42:37,50,17,5
03/09/2020,12:50:21,48,25,2
03/09/2020,13:01:23,37,24,2
03/09/2020,13:06:24,35,20,0
03/09/2020,13:12:25,52,23,2
03/09/2020,13:20:26,53,24,1
03/09/2020,13:22:27,55,18,3
03/09/2020,13:34:32,50,17,1
03/09/2020,13:38:21,49,25,2
03/09/2020,13:42:37,37,17,4
03/09/2020,13:50:21,54,19,1
03/09/2020,14:01:23,52,21,5
03/09/2020,14:06:24,40,25,3
03/09/2020,14:12:25,55,25,0
03/09/2020,14:20:26,42,15,4
03/09/2020,14:22:27,53,23,5
03/09/2020,14:34:32,52,18,0
03/09/2020,14:38:21,51,16,5
03/09/2020,14:42:37,42,21,0
03/09/2020,14:50:21,50,15,0
03/09/2020,15:01:23,36,21,5
03/09/2020,15:06:24,52,19,3
03/09/2020,15:12:25,37,18,2
03/09/2020,15:20:26,53,15,1
03/09/2020,15:22:27,45,15,3
03/09/2020,15:34:32,36,22,1
03/09/2020,15:38:21,44,25,5
03/09/2020,15:42:37,42,25,1
03/09/2020,15:50:21,55,21,0
03/09/2020,16:01:23,49,24,3
03/09/2020,16:06:24,43,25,4
03/09/2020,16:12:25,45,19,4
03/09/2020,16:20:26,37,24,1
03/09/2020,16:22:27,46,17,4
03/09/2020,16:34:32,45,24,2
03/09/2020,16:38:21,40,21,3
03/09/2020,16:42:37,49,15,5
03/09/2020,16:50:21,49,22,4
03/09/2020,17:01:23,40,16,1
03/09/2020,17:06:24,53,15,2
03/09/2020,17:12:25,38,18,1
03/09/2020,17:20:26,55,19,5
03/09/2020,17:22:27,36,18,1
03/09/2020,17:34:32,55,15,1
03/09/2020,17:38:21,40,21,1
03/09/2020,17:42:37,52,19,2
03/09/2020,17:50:21,52,19,1
03/09/2020,18:01:23,42,22,4
03/09/2020,18:06:24,51,22,5
03/09/2020,18:12:25,36,19,1
03/09/2020,18:20:26,42,25,5
03/09/2020,18:22:27,55,22,5
03/09/2020,18:34:32,35,24,1
03/09/2020,18:38:21,36,17,3
03/09/2020,18:42:37,41,25,3
03/09/2020,18:50:21,51,21,0
03/09/2020,19:01:23,36,15,5
03/09/2020,19:06:24,36,15,4
03/09/2020,19:12:25,55,19,1
03/09/2020,19:20:26,51,17,0
03/09/2020,19:22:27,44,19,3
03/09/2020,19:34:32,42,16,3
03/09/2020,19:38:21,39,16,3
03/09/2020,19:42:37,50,25,3
03/09/2020,19:50:21,45,20,5
03/09/2020,20:01:23,48,18,0
03/09/2020,20:06:24,54,23,1
03/09/2020,20:12:25,49,24,0
03/09/2020,20:20:26,55,17,3
03/09/2020,20:22:27,49,24,0
03/09/2020,20:34:32,54,21,0
03/09/2020,20:38:21,53,18,1
03/09/2020,20:42:37,35,21,2
03/09/2020,20:50:21,43,25,4
03/09/2020,21:01:23,54,17,4
03/09/2020,21:06:24,50,24,5
03/09/2020,21:12:25,55,23,2
03/09/2020,21:20:26,51,19,4
03/09/2020,21:22:27,46,17,2
03/09/2020,21:34:32,55,17,4
03/09/2020,21:38:21,38,25,0
03/09/2020,21:42:37,53,19,1
03/09/2020,21:50:21,51,21,4
03/09/2020,22:01:23,52,15,0
03/09/2020,22:06:24,37,19,5
03/09/2020,22:12:25,51,24,3
03/09/2020,22:20:26,50,22,4
03/09/2020,22:22:27,43,20,0
03/09/2020,22:34:32,53,21,3
03/09/2020,22:38:21,50,15,3
03/09/2020,22:42:37,36,22,5
03/09/2020,22:50:21,54,24,5
03/09/2020,23:01:23,40,24,2
03/09/2020,23:06:24,39,17,1
03/09/2020,23:12:25,47,20,4
03/09/2020,23:20:26,53,20,0
03/09/2020,23:22:27,36,18,0
03/09/2020,23:34:32,49,25,2
03/09/2020,23:38:21,41,16,5
03/09/2020,23:42:37,44,17,0
03/09/2020,23:50:21,49,21,0
04/09/2020,00:01:23,49,20,3
04/09/2020,00:06:24,42,18,1
04/09/2020,00:12:25,47,18,4
04/09/2020,00:20:26,55,16,5
04/09/2020,00:22:27,51,18,2
04/09/2020,00:34:32,49,15,0
04/09/2020,00:38:21,47,23,1
04/09/2020,00:42:37,41,16,3
04/09/2020,00:50:21,53,21,5
04/09/2020,00:55:24,50,18,5
04/09/2020,01:01:23,49,20,0
04/09/2020,01:06:24,50,25,1
04/09/2020,01:12:25,39,23,3
04/09/2020,01:20:26,45,17,0
04/09/2020,01:22:27,42,25,2
04/09/2020,01:34:32,41,25,0
04/09/2020,01:38:21,35,24,5
04/09/2020,01:42:37,43,23,2
04/09/2020,01:50:21,39,16,0
04/09/2020,02:01:23,43,19,5
04/09/2020,02:06:24,51,23,4
04/09/2020,02:12:25,51,15,4
04/09/2020,02:20:26,47,17,1
04/09/2020,02:22:27,51,18,2
04/09/2020,02:34:32,53,15,2
04/09/2020,02:38:21,36,19,3
04/09/2020,02:42:37,44,25,0
04/09/2020,02:50:21,41,16,3
04/09/2020,03:01:23,54,24,4
04/09/2020,03:06:24,50,24,0
04/09/2020,03:12:25,50,24,0
04/09/2020,03:20:26,51,15,5
04/09/2020,03:22:27,40,25,4
04/09/2020,03:34:32,35,17,5
04/09/2020,03:38:21,55,24,1
04/09/2020,03:42:37,36,25,2
04/09/2020,03:50:21,37,15,3
04/09/2020,04:01:23,54,23,3
04/09/2020,04:06:24,35,19,0
04/09/2020,04:12:25,36,21,1
04/09/2020,04:20:26,45,19,3
04/09/2020,04:22:27,53,19,3
04/09/2020,04:34:32,37,21,4
04/09/2020,04:38:21,37,23,0
04/09/2020,04:42:37,37,22,4
04/09/2020,04:50:21,40,24,1
04/09/2020,05:01:23,41,22,4
04/09/2020,05:06:24,54,18,1
04/09/2020,05:12:25,55,23,5
04/09/2020,05:20:26,53,18,3
04/09/2020,05:22:27,55,20,3
04/09/2020,05:34:32,44,17,5
04/09/2020,05:38:21,53,16,4
04/09/2020,05:42:37,51,21,5
04/09/2020,05:50:21,50,20,5
04/09/2020,06:01:23,52,16,5
04/09/2020,06:06:24,45,19,3
04/09/2020,06:12:25,44,23,3
04/09/2020,06:20:26,39,25,2
04/09/2020,06:22:27,45,17,2
04/09/2020,06:34:32,52,16,5
04/09/2020,06:38:21,54,25,1
04/09/2020,06:42:37,55,16,1
04/09/2020,06:50:21,49,17,1
04/09/2020,07:01:23,38,23,4
04/09/2020,07:06:24,53,20,5
04/09/2020,07:12:25,46,21,2
04/09/2020,07:20:26,36,21,1
04/09/2020,07:22:27,38,16,2
04/09/2020,07:34:32,35,15,4
04/09/2020,07:38:21,50,16,4
04/09/2020,07:42:37,35,21,3
04/09/2020,07:50:21,47,17,5
04/09/2020,07:01:23,43,16,1
04/09/2020,07:06:24,55,20,3
04/09/2020,07:12:25,41,23,4
04/09/2020,07:20:26,45,15,3
04/09/2020,07:22:27,40,19,2
04/09/2020,07:34:32,47,17,0
04/09/2020,07:38:21,40,21,4
04/09/2020,07:42:37,43,19,5
04/09/2020,07:50:21,48,21,2
04/09/2020,08:01:23,43,21,1
